cas_hora_entrada;cas_hora_salida;cas_fecha;fk_persona_empleado
0:00:00;0:00:00;2022-07-22;1
7:10:00;15:00:00;2022-07-23;1
7:00:00;15:00:00;2022-07-25;1
0:00:00;0:00:00;2022-07-22;2
5:59:00;14:35:00;2022-07-24;2
6:20:00;13:00:00;2022-07-25;2
7:40:00;16:09:00;2022-07-22;3
0:00:00;0:00:00;2022-07-24;3
0:00:00;0:00:00;2022-07-25;3
8:56:00;17:00:00;2022-07-23;4
9:37:00;15:00:00;2022-07-25;4
9:00:00;17:21:00;2022-07-26;4
10:10:00;18:00:00;2022-07-22;5
9:45:00;18:23:00;2022-07-24;5
0:00:00;0:00:00;2022-07-25;5
6:09:00;15:00:00;2022-07-24;6
7:10:00;15:00:00;2022-07-25;6
5:59:00;14:35:00;2022-07-23;7
6:20:00;13:00:00;2022-07-25;7
8:20:00;12:00:00;2022-07-26;7
7:40:00;16:09:00;2022-07-23;8
0:00:00;0:00:00;2022-07-25;8
9:00:00;17:21:00;2022-07-26;8
8:56:00;17:00:00;2022-07-23;9
9:37:00;15:00:00;2022-07-25;9
0:00:00;0:00:00;2022-07-26;9
10:10:00;18:00:00;2022-07-25;10
9:45:00;18:23:00;2022-07-26;10
0:00:00;0:00:00;2022-07-25;11
7:10:00;15:00:00;2022-07-26;11
5:59:00;14:35:00;2022-07-25;12
6:20:00;13:00:00;2022-07-26;12
7:40:00;16:09:00;2022-07-22;13
0:00:00;0:00:00;2022-07-23;13
9:37:00;15:00:00;2022-07-24;14
9:00:00;17:21:00;2022-07-26;14
7:00:00;15:00:00;2022-07-25;15
7:00:00;15:00:00;2022-07-25;16
7:00:00;15:00:00;2022-07-25;17
7:00:00;15:00:00;2022-07-25;18
7:00:00;15:00:00;2022-07-25;19
7:00:00;15:00:00;2022-07-25;20
7:00:00;15:00:00;2022-07-25;21
7:00:00;15:00:00;2022-07-25;22
7:37:00;14:46:00;2022-07-25;23
7:37:00;14:46:00;2022-07-25;24
7:37:00;14:46:00;2022-07-25;25
7:37:00;14:46:00;2022-07-25;26
7:37:00;14:46:00;2022-07-25;27
7:37:00;14:46:00;2022-07-25;28
7:37:00;14:46:00;2022-07-25;29
7:37:00;14:46:00;2022-07-27;30
7:37:00;14:46:00;2022-07-27;31
7:37:00;14:46:00;2022-07-27;32
7:37:00;14:46:00;2022-07-27;33
8:25:00;14:46:00;2022-07-27;34
8:25:00;14:46:00;2022-07-27;35
8:25:00;14:46:00;2022-07-27;36
8:25:00;14:46:00;2022-07-27;37
8:25:00;14:46:00;2022-07-27;38
8:25:00;16:25:00;2022-07-27;39
8:25:00;16:25:00;2022-07-27;40
8:25:00;16:25:00;2022-07-27;41
8:25:00;16:25:00;2022-07-27;42
8:25:00;16:25:00;2022-07-27;43
8:25:00;16:25:00;2022-07-27;44
8:25:00;16:25:00;2022-07-27;45
8:25:00;16:25:00;2022-07-27;46
8:25:00;16:25:00;2022-07-27;47
0:00:00;0:00:00;2022-07-27;48
0:00:00;0:00:00;2022-07-27;49
0:00:00;0:00:00;2022-07-27;50
0:00:00;0:00:00;2022-07-27;51
0:00:00;0:00:00;2022-07-27;52
0:00:00;0:00:00;2022-07-27;53
0:00:00;0:00:00;2022-07-27;54
0:00:00;0:00:00;2022-07-27;55
0:00:00;0:00:00;2022-07-27;56
0:00:00;0:00:00;2022-07-27;57
0:00:00;0:00:00;2022-07-27;58
0:00:00;0:00:00;2022-07-27;59
0:00:00;0:00:00;2022-07-27;60
0:00:00;0:00:00;2022-07-27;61
0:00:00;0:00:00;2022-07-27;62
0:00:00;0:00:00;2022-07-27;63
9:46:00;17:19:00;2022-07-27;64
9:46:00;17:19:00;2022-07-27;65
