cas_hora_entrada,cas_hora_salida,cas_fecha,fk_persona_empleado
6:10:00,15:00:00,2022-01-14,1
7:10:00,15:00:00,2022-02-23,1
0:00:00,0:00:00,2022-04-15,1
0:00:00,0:00:00,2022-06-04,1
7:10:00,15:00:00,2022-07-15,1
6:40:00,15:00:00,2022-08-15,1
7:10:00,15:00:00,2022-08-23,1
7:10:00,15:00:00,2022-09-15,1
7:00:00,15:00:00,2022-09-29,1
6:40:00,15:00:00,2022-10-29,1
7:10:00,15:00:00,2022-11-29,1
7:10:00,15:00:00,2022-11-29,1
6:10:00,16:00:00,2022-12-29,1
0:00:00,0:00:00,2022-12-29,1
0:00:00,0:00:00,2022-01-22,2
5:59:00,14:35:00,2022-03-24,2
6:20:00,13:00:00,2022-03-25,2
10:59:00,14:35:00,2022-06-24,2
0:00:00,0:00:00,2022-10-25,2
0:00:00,0:00:00,2022-12-24,2
6:20:00,13:00:00,2022-10-25,3
5:59:00,14:35:00,2022-05-24,3
11:20:00,13:00:00,2022-10-25,3
11:40:00,16:09:00,2022-12-22,3
0:00:00,0:00:00,2022-02-24,3
7:40:00,16:09:00,2022-08-22,3
0:00:00,0:00:00,2022-07-24,3
0:00:00,0:00:00,2022-03-24,4
0:00:00,0:00:00,2022-06-25,4
8:56:00,17:00:00,2022-06-23,4
9:37:00,15:00:00,2022-07-25,4
9:00:00,17:21:00,2022-10-26,4
10:10:00,18:00:00,2022-07-22,5
9:45:00,18:23:00,2022-01-24,5
0:00:00,0:00:00,2022-05-25,5
6:09:00,15:00:00,2022-12-24,6
7:10:00,15:00:00,2022-09-25,6
5:59:00,14:35:00,2022-08-23,7
6:20:00,13:00:00,2022-11-25,7
8:20:00,12:00:00,2022-02-26,7
7:40:00,16:09:00,2022-07-23,8
0:00:00,0:00:00,2022-02-25,8
9:00:00,17:21:00,2022-03-26,8
8:56:00,17:00:00,2022-11-23,9
9:37:00,15:00:00,2022-12-25,9
0:00:00,0:00:00,2022-12-26,9
10:10:00,18:00:00,2022-01-25,10
9:45:00,18:23:00,2022-02-26,10
0:00:00,0:00:00,2022-03-25,11
7:10:00,15:00:00,2022-04-26,11
5:59:00,14:35:00,2022-05-25,12
6:20:00,13:00:00,2022-06-26,12
7:40:00,16:09:00,2022-07-22,13
0:00:00,0:00:00,2022-08-23,13
9:37:00,15:00:00,2022-09-24,14
9:00:00,17:21:00,2022-10-26,14
7:00:00,15:00:00,2022-11-25,15
7:00:00,15:00:00,2022-12-25,16
7:00:00,15:00:00,2022-01-25,17
7:00:00,15:00:00,2022-02-26,18
7:00:00,15:00:00,2022-03-25,19
7:00:00,15:00:00,2022-04-26,20
7:00:00,15:00:00,2022-05-25,21
7:00:00,15:00:00,2022-06-26,22
7:37:00,14:46:00,2022-07-22,23
7:37:00,14:46:00,2022-08-23,24
7:37:00,14:46:00,2022-09-24,25
7:37:00,14:46:00,2022-10-26,26
7:37:00,14:46:00,2022-11-25,27
7:37:00,14:46:00,2022-12-25,28
7:37:00,14:46:00,2022-01-25,29
7:37:00,14:46:00,2022-02-26,30
7:37:00,14:46:00,2022-03-25,31
